frame_number,src_mac,dst_mac,eth_type,src_ip,dst_ip,ip_proto,ip_ttl,src_port,dst_port,tcp_flags,packet_time,packet_length,packet_summary,protocol_name_x,packet_information_x,protocol_name_y,packet_information_y,protocol_name_x,packet_information_x,protocol_name_y,packet_information_y
8,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,A,1210953938.221089,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 A,TCP,631 → 55341 [ACK] Seq=1 Ack=431 Win=5840 Len=0 TSval=5827876 TSecr=7073323,TCP,631 → 55341 [ACK] Seq=1 Ack=431 Win=5840 Len=0 TSval=5827876 TSecr=7073323,TCP,631 → 55341 [ACK] Seq=1 Ack=431 Win=5840 Len=0 TSval=5827876 TSecr=7073323,TCP,631 → 55341 [ACK] Seq=1 Ack=431 Win=5840 Len=0 TSval=5827876 TSecr=7073323
8,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,A,1210953938.221089,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 A,,,TCP,631 → 55341 [ACK] Seq=1 Ack=431 Win=5840 Len=0 TSval=5827876 TSecr=7073323,TCP,631 → 55341 [ACK] Seq=1 Ack=431 Win=5840 Len=0 TSval=5827876 TSecr=7073323,TCP,631 → 55341 [ACK] Seq=1 Ack=431 Win=5840 Len=0 TSval=5827876 TSecr=7073323
8,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,A,1210953938.221089,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 A,,,,,TCP,631 → 55341 [ACK] Seq=1 Ack=431 Win=5840 Len=0 TSval=5827876 TSecr=7073323,TCP,631 → 55341 [ACK] Seq=1 Ack=431 Win=5840 Len=0 TSval=5827876 TSecr=7073323
8,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,A,1210953938.221089,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 A,,,,,,,TCP,631 → 55341 [ACK] Seq=1 Ack=431 Win=5840 Len=0 TSval=5827876 TSecr=7073323
9,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,PA,1210953938.222651,91,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 PA / Raw,HTTP,HTTP/1.1 100 Continue ,HTTP,HTTP/1.1 100 Continue ,HTTP,HTTP/1.1 100 Continue ,HTTP,HTTP/1.1 100 Continue 
9,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,PA,1210953938.222651,91,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 PA / Raw,,,HTTP,HTTP/1.1 100 Continue ,HTTP,HTTP/1.1 100 Continue ,HTTP,HTTP/1.1 100 Continue 
9,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,PA,1210953938.222651,91,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 PA / Raw,,,,,HTTP,HTTP/1.1 100 Continue ,HTTP,HTTP/1.1 100 Continue 
9,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,PA,1210953938.222651,91,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 PA / Raw,,,,,,,HTTP,HTTP/1.1 100 Continue 
10,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.222663,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,TCP,55341 → 631 [ACK] Seq=431 Ack=26 Win=5888 Len=0 TSval=7073327 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=26 Win=5888 Len=0 TSval=7073327 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=26 Win=5888 Len=0 TSval=7073327 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=26 Win=5888 Len=0 TSval=7073327 TSecr=5827876
10,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.222663,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,,,TCP,55341 → 631 [ACK] Seq=431 Ack=26 Win=5888 Len=0 TSval=7073327 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=26 Win=5888 Len=0 TSval=7073327 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=26 Win=5888 Len=0 TSval=7073327 TSecr=5827876
10,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.222663,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,,,,,TCP,55341 → 631 [ACK] Seq=431 Ack=26 Win=5888 Len=0 TSval=7073327 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=26 Win=5888 Len=0 TSval=7073327 TSecr=5827876
10,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.222663,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,,,,,,,TCP,55341 → 631 [ACK] Seq=431 Ack=26 Win=5888 Len=0 TSval=7073327 TSecr=5827876
11,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,PA,1210953938.22364,210,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 PA / Raw,TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU],TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU],TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU],TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU]
